"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"RAVR003X";1,99;0,6;4,055;10,11;77,9;83,52;77,9;80,1;4,715;2,5;2,34;1,035;0,21;0,215;0,166925465838509;0,01;0,00304460344040189;0,345;0,0779343995662781;NA;0,247904468845189;NA;5,685;4,95;0,18;NA;0,05;0,0163078930202218;1,525;0;41,6;NA;1,53;5,06;0,3337;0,95715;NA;NA;7,65;5,62;6,945;0,6235;47,95;0,44;4,575;4,485
"RAVR004X";1,17;0,6;6,82;15,39;126,4;128,28;126,4;129;4,47;2,5;3,7;1,95;0,2;0,62;0,481366459627329;0,01;0,00304460344040189;0,46;0,103912532755038;NA;0,651574702717139;NA;8,88;4,66;0,18;NA;0,05;0,0163078930202218;7,3;0;41,5;NA;20,55;5,33;0,87;1,1852;NA;NA;9,9;4,04;4,46;0,495;21,5;0,565;4,77;4,76
"RAVR005X";0,15;0,6;40,71;53,35;508,7;477,47;508,7;518;1,05;96,25;27,9;10,5;0,13;1,96;1,52173913043478;0,15;0,0456690516060283;3,36;0,759013282732448;NA;3,3490272199498;NA;21,79;6,68;0,18;NA;0,05;0,0163078930202218;22,48;0,2;72,8;NA;66,08;3,71;4,6618;4,8004;NA;NA;10,2;31,13;6,14;0,152;1,7;0,51;6,95;7,08
"RAVR006X";0,21;0,6;34,91;45,19;460,3;430,72;460,3;475;0,8;53,21;24,48;9,55;0,1;0,18;0,139751552795031;0,13;0,0395798447252245;5,95;1,34408602150538;NA;1,52341741902563;NA;20,04;6,86;0,18;NA;0,05;0,0163078930202218;18,76;0,1;67,1;NA;60,01;3,95;4,0297;4,2144;NA;NA;10,1;27,34;5,87;0,185;2,2;0,61;6,84;6,978
"RAVR007X";0,555;0,6;22,115;31,945;359;340,835;359;369;1,37;49,62;31,52;7,975;0,195;0,185;0,143633540372671;0,02;0,00608920688080378;6,92;1,5632059275323;NA;1,71292867478578;NA;15,125;6,48;0,18;NA;0,435;0,14187866927593;20,955;0,05;56,3;NA;59,43;2,705;3,0757;3,33065;NA;NA;7,25;18,165;4,63;0,255;3,95;0,27;6,29;6,285
"RAVR008X";0,62;0,6;6,55;19,94;135,7;134,37;135,7;137,5;1,86;11,5;6,43;2,01;0,34;0,18;0,139751552795031;0,01;0,00304460344040189;1,81;0,408873226710039;40,57;0,791021785898238;2,81897821410176;9,62;5,21;0,18;NA;0,05;0,0163078930202218;5,47;0;40,3;NA;14,59;2,08;0,9938;1,2207;3,61;0,2746;9,5;1,33;1,04;0,227;6,3;0,36;5,89;5,81
"TVGR200X";0,685;0,6;17,295;21,985;235,65;230,875;235,65;241,25;0,84;44,74;11,825;5,05;0,09;0,26;0,201863354037267;0,12;0,0365352412848226;10,25;2,31544230595464;NA;2,55384090127673;NA;14,125;7,51;0,18;NA;0,295;0,0962165688193086;8,935;0;65,25;NA;25,195;2,865;2,0543;2,2955;NA;NA;8,75;4,775;2,03;0,2415;5,4;0,96;6,64;6,52
"TVGR201X";0,395;0,6;20,085;20,74;262,2;251,645;262,2;267,4;0,565;50,42;15,43;5,25;0,075;0,16;0,124223602484472;0,08;0,0243568275232151;15,025;3,394099575314;NA;3,54268000532168;NA;13,67;9,66;0,18;NA;0,495;0,161448140900196;10,825;0,05;83,45;NA;30,455;1,935;2,30395;2,48495;NA;NA;8,25;10,555;3,715;0,181;3,65;0,79;6,915;6,785
"TVGR202X";0,81;0,6;14,98;16,975;193,05;188,465;193,05;197,55;1,075;33,74;9,465;4,68;0,105;0,09;0,0698757763975155;0,48;0,146140965139291;7,385;1,66824794433903;NA;1,88426468587583;NA;9,125;8,005;0,18;NA;0,05;0,0163078930202218;8,365;0;67,25;NA;23,275;2,3;1,6472;1,88075;NA;NA;7,75;4,585;2,415;0,2335;6,35;0,75;6,535;6,345
"TVGR203X";0,59;0,6;25,4;41,92;386,4;369,69;386,4;397;0,49;27,84;22,61;6,48;0,13;0,12;0,093167701863354;0,06;0,0182676206424113;23,78;5,37182614981476;NA;5,50655339778637;NA;24,22;9,05;0,18;NA;0,05;0,0163078930202218;20,58;0,1;77,4;NA;59,26;2,02;3,2575;3,5303;NA;NA;11,1;16,71;4,32;0,266;2,8;0,31;6,41;6,35
"TVGR204X";0,54;0,6;14,37;16,82;194,3;190,33;194,3;197,1;0,49;39,08;9,465;4,015;0,105;0,095;0,0737577639751553;0,045;0,0137007154818085;9,195;2,07712117104906;NA;2,16457965050603;NA;12,165;7,975;0,18;NA;0,525;0,171232876712329;7,17;0;68,8;NA;19,245;1,33;1,68095;1,8863;NA;NA;8,55;3,97;2,13;0,2055;5,65;0,89;6,55;6,452
"TVGR205X";0,385;0,6;14,6;9,67;152,4;152;152,4;156,4;0,23;43,79;7,215;3,755;0,05;0,05;0,0388198757763975;0,025;0,00761150860100472;5,32;1,20177103099304;NA;1,24820241537044;NA;7,48;9,375;0,18;NA;0,305;0,0994781474233529;4,975;0;79,95;NA;12,895;0,515;1,3553;1,5873;NA;NA;7,75;0,6;0,485;0,2315;7,9;0,77;6,695;6,5755
"TVGR206X";0,12;0,6;10,82;5,74;91,2;88,245;91,2;90,9;0,05;22,755;1,895;0,775;0,05;0,05;0,0388198757763975;0,015;0,00456690516060283;7,78;1,75747718442216;NA;1,80086396535916;NA;3,95;10,305;0,18;NA;0,05;0,0163078930202218;2,155;0;91,1;NA;6,7;1,43;0,8;0,8381;NA;NA;9,25;2,955;4,085;0,038;1,8;0,39;6,94;6,9245
"TVGR207X";0,39;0,6;33,47;29,09;337,8;325,67;337,8;345;0,48;83,53;12,18;4,92;0,1;0,3;0,232919254658385;0,1;0,0304460344040189;13,18;2,97731996024216;NA;3,13198959713065;NA;20,04;9,11;0,18;NA;0,19;0,0619699934768428;11,21;0,1;75,5;NA;33,45;3,96;3,1057;3,3402;NA;NA;9;12,13;3,59;0,234;2,9;0,2;7,06;6,928
"TVGR208X";0,39;0,6;30,74;22,17;313,6;302,08;313,6;318;0,5;76,83;11,31;5,88;0,05;0,13;0,100931677018634;0,07;0,0213122240828132;9,7;2,19119906026927;NA;2,31953216825152;NA;15,49;9,27;0,18;NA;0,05;0,0163078930202218;11,91;0,1;76;NA;35,94;1,77;2,8698;3,0931;NA;NA;8,4;11,52;3,67;0,176;3,7;0,4;7,1;6,86
"TVGR209X";0,81;0,6;25,225;30,225;380;349,915;380;368,5;0,305;39,815;27,295;6,655;0,12;0,05;0,0388198757763975;0,09;0,027401430963617;44,055;9,95188397939821;35,795;10,0181052861382;2,76689471386177;17,55;7,12;0,18;NA;0,085;0,027723418134377;14,95;0,1;64,8;NA;41,095;2,23;3,25935;3,3628;12,785;0,0982;10,5;29,05;6,425;0,1035;1,6;0,36;6,39;6,225
"TVGR210X";0,335;0,6;8,635;12,025;124,2;124,13;124,2;126,35;0,205;23,72;5,955;3,43;0,05;0,05;0,0388198757763975;0,03;0,00913381032120566;6,945;1,56885334779073;NA;1,61680703388833;NA;7,09;10,245;0,18;NA;0,13;0,0424005218525766;3,815;0;88,4;NA;10,08;0,415;1,05385;1,20955;NA;NA;9,05;0,09;0,09;0,1555;7;0,53;6,77;6,615
"TVGR211X";0,455;0,6;4,205;9,33;70;69,565;70;67,55;0,565;11,57;2,74;1,185;0,065;0,16;0,124223602484472;0,01;0,00304460344040189;0,265;0,0598626547393151;31,335;0,193414229551716;1,69674022493695;5,77;5,59;0,18;NA;0,05;0,0163078930202218;1,62;0;55,15;NA;3,24;0,835;0,5999;0,70195;1,98;0,07035;10,55;1,18;1,905;0,1135;9;0,35;6,03;5,895
"TVGR212X";0,23;0,6;45,1;34,43;373,9;341,75;373,9;363;0,66;156,05;4,87;6,72;0,05;0,12;0,093167701863354;0,01;0,00304460344040189;0,3;0,0677690431011114;8,62;0,213546055072948;0,526453944927052;29,93;4,64;0,18;NA;0,05;0,0163078930202218;4,53;0,1;44,6;0,4;10,58;4,42;3,8229;3,8197;0,74;0,0384;11,6;32,15;8,06;0,06;0,8;0,47;7,2;7,03
"TVGR213X";0,145;0,6;42,405;29,19;369,5;345,49;369,5;367;0,355;145,305;6,95;6,265;0,13;1,855;1,44021739130435;0,015;0,00456690516060283;0,395;0,08922924008313;21;1,90320684854993;1,37221164917838;20,175;3,51;0,18;NA;0,745;0,242987606001305;5,625;0,1;30,3;0,26;15,165;4,6;3,61255;3,74405;5,115;0,60585;11;25,895;7,59;0,063;0,95;0,3;7,235;7,165
"TVGR214X";0,51;0,6;6,355;8,715;87,05;87,95;87,05;88,35;0,25;15,46;5,045;1,81;0,05;0,26;0,201863354037267;0,01;0,00304460344040189;4,395;0,992816481431282;NA;1,19772443890895;NA;5,17;10,03;0,18;NA;1,26;0,410958904109589;2,33;0;86;NA;5,025;0,755;0,7143;0,8833;NA;NA;8,05;1,17;1,33;0,169;10,7;0,63;6,2;6,0065
"TVGR215X";0,215;0,6;23,64;20,52;263,65;250,935;263,65;268,9;0,08;53,23;11,73;5,61;0,05;0,05;0,0388198757763975;0,115;0,0350129395646217;18,21;4,11358091623746;NA;4,18741373157848;NA;13,08;13,025;0,18;NA;0,34;0,110893672537508;10,38;0,05;113,6;NA;29,275;0,25;2,3664;2,5317;NA;NA;8,4;12,715;4,43;0,165;3,15;0,6;7,19;7,1415
"TVGR216X";0,29;0,6;5,8;16,375;100,5;100,91;100,5;101,45;0,22;12,695;2,55;1,47;0,05;0,05;0,0388198757763975;0,01;0,00304460344040189;1,04;0,23493268275052;NA;0,276797161967319;NA;10,08;10,545;0,18;NA;0,075;0,0244618395303327;2,49;0;89,9;NA;6,48;0,425;0,8234;0,94645;NA;NA;7,85;0,88;0,825;0,1235;7,35;0,2;6,475;6,564
"TVGR217X";0,415;0,6;0,97;6,335;46,75;44,935;46,75;47,85;0,295;2,5;2,075;0,51;0,05;0,05;0,0388198757763975;0,01;0,00304460344040189;0,145;0,0327550374988705;NA;0,0746195167156699;NA;3,59;11,585;0,18;NA;0,05;0,0163078930202218;1,135;0;101,4;NA;2,08;0,25;0,2243;0,37105;NA;NA;8,6;1,815;3,85;0,147;24,65;0,42;4,56;4,443
"TVGR218X";0,385;0,6;21,605;26,605;234,8;221,745;234,8;231,9;0,66;69,865;2,4;3,51;0,04;0,05;0,0388198757763975;0,02;0,00608920688080378;0,81;0,182976416373001;20,71;0,227885499030202;1,03003576475176;18,22;8,03;0,18;NA;0,075;0,0244618395303327;3,915;0;70,5;0,1;9,63;2,195;2,1671;2,2758;1,16;0,0523;8,6;13,055;4,915;0,1085;3,05;0,1;7,105;7,025
"TVGR220X";0,2;0,6;6,115;16,67;108,3;103,205;108,3;102,75;0,255;15,545;1,71;1,57;0,01;0,075;0,0582298136645963;0,01;0,00304460344040189;0,71;0,160386735339297;15,895;0,221661152444295;1,0483388475557;10,695;9,795;0,18;NA;0,05;0,0163078930202218;2,4;0;103,15;0;5,995;0,1;0,9465;0,97185;1,27;0,03265;18,3;5,095;4,73;0,0255;1,3;0;6,93;7,075
"TVGR221X";0,2;0,6;3,99;14,84;86,6;82,69;86,6;84,3;0,27;7,49;2;1,12;0,0025;0,05;0,0388198757763975;0,01;0,00304460344040189;0,63;0,142314990512334;18,09;0,184179469729133;0,805820530270867;9,18;11,95;0,18;NA;0,05;0,0163078930202218;1,99;0;117,6;0,1;4,68;0,1;0,7446;0,7678;0,99;0,015;13,8;3,91;4,52;0,023;1,5;0,1;6,59;6,68
"TVGR222X";0,14;0,6;18,17;17,67;188,4;176,95;188,4;182,9;0,27;63,16;4,14;3,37;0,03;0,11;0,0854037267080745;0,01;0,00304460344040189;0,12;0,0271076172404446;25,14;0,115555947388921;1,78444405261108;12,09;9,91;0,18;NA;0,05;0,0163078930202218;2,77;0;89,9;NA;6,29;0,36;1,8032;1,8437;1,9;0,0788;10,4;11,45;6,08;0,04;1,1;NA;7,1;7,12
"TVGR223X";0,3;0,6;29,92;35,18;314,8;287,92;314,8;306;0,42;93,11;3,39;4,97;0,04;0,14;0,108695652173913;0,01;0,00304460344040189;1,34;0,302701725851631;18,74;0,414441981465946;1,01555801853405;20,93;7,8;0,18;NA;0,05;0,0163078930202218;5,44;0,1;70,9;0,05;14,35;4,86;2,9403;2,9458;1,43;0,0539;10,5;26,88;8,54;0,006;0,1;0,05;7,17;7,13
"TVGR224X";0,27;0,6;4,73;6,78;65,4;64,06;65,4;64,3;0,26;15,71;2,01;1,81;0,01;0,05;0,0388198757763975;0,01;0,00304460344040189;0,05;0,0112948405168519;23,64;0,0531593197336513;1,06684068026635;4,79;10,98;0,18;NA;0,05;0,0163078930202218;1,43;0;111,3;NA;2,79;0,1;0,637;0,6752;1,12;0,0617;15,2;1,34;2,05;0,038;2,9;NA;7,16;7,63
"TVGR225X";0,2;0,6;1,66;5,26;40,9;38,05;40,9;42;0,14;2,5;2,08;0,74;0,01;0,05;0,0388198757763975;0,01;0,00304460344040189;0,45;0,101653564651667;15,15;0,143518043868467;0,856481956131533;3,22;10,23;0,18;NA;0,05;0,0163078930202218;1,31;0;93,7;NA;2,92;0,1;0,3447;0,3601;1;0,0306;10,7;2,85;6,97;0,015;2,2;NA;5,93;5,832
"TVGR226X";0,73;0,6;21,72;26,17;316,3;294,08;316,3;311;0,42;40,66;21,19;5,81;0,05;0,05;0,0388198757763975;0,03;0,00913381032120566;28,17;6,36351314719436;36,44;6,41146683329197;2,19853316670803;15,09;10,79;0,18;NA;0,05;0,0163078930202218;13,26;0,1;98;NA;34,96;1,46;2,7825;2,8323;8,61;0,0897;10,3;22,22;7,02;0,05;0,9;NA;6,76;6,737
"TVGR227X";0,39;0,6;0,63;5,83;48,9;44,32;48,9;49,5;0,77;2,5;1,09;0,29;0,01;0,05;0,0388198757763975;0,01;0,00304460344040189;0,1;0,0225896810337038;27,98;0,0644541602505032;1,1955458397495;3,75;10,05;0,18;NA;0,05;0,0163078930202218;0,5;0;94,9;0,05;0,57;0,1;0,2744;0,3473;1,26;0,015;12,1;4,58;9,37;0,073;11,7;0,05;4,37;4,28
"ZONR001X";0,105;0,6;31,74;22,135;293,85;276,035;293,85;300,1;0,685;67,575;9,57;5,485;0,12;0,05;0,0388198757763975;0,08;0,0243568275232151;3,205;0,723999277130207;NA;0,78717598042982;NA;11,365;6,245;0,18;NA;0,33;0,107632093933464;15,535;0,05;65,55;NA;44,445;4,535;2,71925;2,81315;NA;NA;7,75;17,815;5,69;0,094;2;0,85;6,91;6,77
"ZONR002X";0,22;0,6;32,8;28,86;387,1;366,66;387,1;397;0,6;59,48;15,17;6,28;0,15;0,21;0,16304347826087;0,09;0,027401430963617;6,09;1,37571157495256;NA;1,58137950137906;NA;20,06;6,68;0,18;NA;0,05;0,0163078930202218;21,35;0,1;67,9;NA;61,45;3,8;3,4502;3,6127;NA;NA;10,3;20,44;5,28;0,14;2,3;0,95;6,84;6,68
